contrato,fatura_on_line,metodo_pagamento,gasto_mensal,gasto_total,servico_internet,seguranca_online,backup_online,protecao_dispositivo,suporte_tecnico,tv_cabo,streaming_filmes,servico_telefone,multiplas_linhas,genero,idoso_maior_65,possui_parceira,dependentes,tempo_contrato,id_cliente,evadido,compras_diarias,evadido_numerico
one year,1,electronic check,60.05,3229.65,dsl,1,0,0,1,no,no,1,1,male,1,1,0,53,2634-hczgt,1,2.0016666666666665,1
month-to-month,1,electronic check,69.6,69.6,fiber optic,0,0,0,0,no,no,1,0,female,1,0,0,1,2636-alxxz,1,2.32,1
month-to-month,1,electronic check,48.55,201.0,dsl,0,1,0,0,yes,yes,0,0,male,0,1,0,4,2636-ohfmn,1,1.6183333333333332,1
one year,1,credit card (automatic),84.3,5289.05,fiber optic,1,1,0,0,no,no,1,1,male,0,0,0,64,2636-sjdou,0,2.81,0
month-to-month,1,mailed check,46.1,130.15,dsl,0,0,0,0,no,no,1,0,female,0,1,0,3,2637-fkfsy,0,1.5366666666666666,0
one year,1,electronic check,56.45,3985.35,dsl,1,1,0,0,yes,yes,0,0,male,1,0,0,71,2639-ugmaz,0,1.8816666666666668,0
month-to-month,1,mailed check,19.65,38.8,no,0,0,0,0,no internet service,no internet service,1,0,male,0,0,0,2,2640-lymov,0,0.6549999999999999,0
month-to-month,1,electronic check,79.5,2180.55,fiber optic,0,0,0,1,no,no,1,1,male,0,0,1,27,2640-pmgfl,1,2.65,1
month-to-month,1,electronic check,85.05,746.5,fiber optic,0,0,0,0,no,yes,1,1,male,1,0,0,9,2642-dtvco,1,2.835,1
two year,0,bank transfer (automatic),20.25,717.95,no,0,0,0,0,no internet service,no internet service,1,0,female,0,1,1,36,2642-mawlj,0,0.675,0
one year,0,bank transfer (automatic),54.25,447.75,dsl,1,0,0,1,no,no,1,0,female,0,0,0,8,2642-nqsnm,,1.8083333333333333,2
month-to-month,1,electronic check,94.25,669.0,fiber optic,0,1,0,0,yes,yes,1,0,male,0,0,0,7,2645-qtlmb,1,3.1416666666666666,1
two year,0,bank transfer (automatic),76.15,4929.55,dsl,1,0,1,1,no,yes,1,1,male,0,1,0,65,2649-hwlyb,0,2.5383333333333336,0
one year,1,bank transfer (automatic),19.45,600.25,no,0,0,0,0,no internet service,no internet service,1,0,male,0,1,1,33,2650-gyryl,0,0.6483333333333333,0
two year,1,credit card (automatic),108.0,5760.65,fiber optic,1,1,0,1,yes,yes,1,1,male,0,0,0,54,2651-zcbxv,0,3.6,0
month-to-month,0,bank transfer (automatic),19.9,19.9,no,0,0,0,0,no internet service,no internet service,1,0,female,0,0,0,1,2654-vbvpb,0,0.6633333333333333,0
month-to-month,1,mailed check,74.45,1145.7,fiber optic,0,0,0,0,no,no,1,1,female,1,0,0,15,2656-fmokz,1,2.481666666666667,1
month-to-month,1,electronic check,100.2,420.2,fiber optic,0,1,0,0,yes,yes,1,1,male,0,1,0,4,2656-tabeh,1,3.3400000000000003,1
month-to-month,0,electronic check,84.95,2169.75,fiber optic,0,1,0,0,no,yes,1,0,female,1,1,0,26,2657-almwy,1,2.8316666666666666,1
month-to-month,1,electronic check,88.85,929.45,fiber optic,0,0,0,0,yes,yes,1,0,female,0,1,1,10,2657-vpxta,0,2.9616666666666664,0
one year,1,electronic check,111.3,7482.1,fiber optic,1,1,1,0,yes,yes,1,1,male,0,1,1,67,2659-vxmwz,1,3.71,1
month-to-month,1,electronic check,95.35,898.35,fiber optic,0,0,0,0,yes,yes,1,1,male,1,0,0,10,2660-emubi,1,3.1783333333333332,1
two year,0,bank transfer (automatic),76.95,4543.95,dsl,0,1,0,1,yes,yes,1,0,male,0,1,1,60,2661-gkbtk,0,2.565,0
one year,0,credit card (automatic),24.8,1600.95,no,0,0,0,0,no internet service,no internet service,1,1,male,0,0,0,65,2662-nntdk,0,0.8266666666666667,0
two year,1,credit card (automatic),104.9,7559.55,fiber optic,1,0,1,1,yes,yes,1,0,male,0,1,1,72,2664-xjzno,0,3.496666666666667,0
month-to-month,1,bank transfer (automatic),98.1,2510.7,fiber optic,0,0,1,0,yes,yes,1,1,female,1,1,0,26,2665-nptgl,0,3.27,0
one year,1,mailed check,19.75,145.0,no,0,0,0,0,no internet service,no internet service,1,0,female,0,1,1,8,2667-wylwj,1,0.6583333333333333,1
month-to-month,0,mailed check,20.45,20.45,no,0,0,0,0,no internet service,no internet service,1,0,male,0,0,0,1,2668-tzsps,0,0.6816666666666666,0
month-to-month,1,credit card (automatic),100.05,4834.0,fiber optic,0,0,1,1,yes,yes,1,0,female,0,1,0,48,2669-oidsd,0,3.335,0
month-to-month,1,credit card (automatic),81.3,3190.65,fiber optic,1,0,0,0,no,no,1,1,female,0,0,0,41,2669-qvcrg,0,2.71,0
month-to-month,1,electronic check,25.15,25.15,dsl,0,0,0,0,no,no,0,0,male,0,0,0,1,2672-dzuoy,1,0.8383333333333333,1
month-to-month,1,electronic check,91.1,455.3,fiber optic,0,0,0,0,yes,yes,1,0,female,0,0,0,6,2672-huyvi,1,3.0366666666666666,1
month-to-month,0,mailed check,44.75,44.75,dsl,0,0,0,0,no,no,1,0,female,0,0,0,1,2672-ojqzp,0,1.4916666666666667,0
two year,1,credit card (automatic),19.8,1119.9,no,0,0,0,0,no internet service,no internet service,1,0,female,0,1,1,56,2672-sxzjb,,0.66,2
month-to-month,1,electronic check,88.8,3340.55,fiber optic,0,1,0,0,yes,no,1,1,female,0,1,1,37,2672-tgeff,0,2.96,0
one year,0,electronic check,110.5,6139.5,fiber optic,1,1,1,0,yes,yes,1,1,female,1,0,0,56,2673-cxqeu,0,3.683333333333333,0
one year,0,mailed check,19.9,173.15,no,0,0,0,0,no internet service,no internet service,1,0,female,0,0,0,7,2673-zalnp,0,0.6633333333333333,0
month-to-month,1,mailed check,80.3,324.2,fiber optic,0,1,0,0,no,no,1,1,female,0,0,0,4,2674-miaht,0,2.6766666666666667,0
month-to-month,1,credit card (automatic),99.65,6951.15,fiber optic,0,1,0,0,yes,yes,1,1,female,1,0,0,71,2674-mlxmn,0,3.3216666666666668,0
month-to-month,1,electronic check,98.9,5780.7,fiber optic,0,1,0,0,yes,yes,1,1,male,1,1,0,58,2675-dhutr,0,3.296666666666667,0
two year,0,bank transfer (automatic),19.65,978.0,no,0,0,0,0,no internet service,no internet service,1,0,male,0,0,0,53,2675-ijrgj,0,0.6549999999999999,0
month-to-month,0,electronic check,89.45,2807.65,fiber optic,1,0,0,0,yes,no,1,1,male,1,1,0,31,2675-otvvj,0,2.981666666666667,0
month-to-month,0,mailed check,20.3,20.3,no,0,0,0,0,no internet service,no internet service,1,0,male,0,0,0,1,2676-ishsf,0,0.6766666666666666,0
month-to-month,1,bank transfer (automatic),55.7,335.65,dsl,1,1,0,0,no,no,1,0,male,0,0,0,6,2676-oxppq,0,1.8566666666666667,0
two year,1,bank transfer (automatic),66.15,3199.0,dsl,0,0,0,1,yes,no,1,1,male,0,0,0,49,2676-sslto,0,2.205,0
one year,0,bank transfer (automatic),58.2,469.25,dsl,1,1,0,1,no,no,1,0,female,0,0,0,8,2680-xkknj,0,1.9400000000000002,0
one year,1,mailed check,20.05,417.0,no,0,0,0,0,no internet service,no internet service,1,0,female,1,0,0,22,2682-kevrp,0,0.6683333333333333,0
month-to-month,1,electronic check,84.45,2467.1,fiber optic,1,1,0,0,no,no,1,1,male,0,1,0,29,2683-bpjso,1,2.815,1
month-to-month,0,bank transfer (automatic),33.6,2117.2,dsl,1,0,1,0,no,no,0,0,male,0,1,1,61,2683-jxwqq,0,1.12,0
month-to-month,0,credit card (automatic),91.7,2758.15,fiber optic,1,1,1,0,no,no,1,1,female,1,0,0,30,2684-eiweo,1,3.0566666666666666,1
month-to-month,1,electronic check,89.1,2368.4,fiber optic,0,0,1,0,no,yes,1,1,female,0,1,1,25,2685-sreom,1,2.9699999999999998,1
month-to-month,1,electronic check,79.55,718.55,fiber optic,0,0,0,0,no,yes,1,0,male,1,0,0,9,2688-bhgog,0,2.6516666666666664,0
one year,0,electronic check,20.55,99.45,no,0,0,0,0,no internet service,no internet service,1,0,male,0,1,1,5,2690-dvrvk,0,0.685,0
month-to-month,1,electronic check,85.35,758.6,fiber optic,0,0,0,0,yes,no,1,1,male,0,0,0,9,2691-nzetq,1,2.8449999999999998,1
one year,1,credit card (automatic),108.05,7118.9,fiber optic,0,1,1,1,yes,yes,1,1,female,0,1,0,65,2692-aqcpf,0,3.6016666666666666,0
month-to-month,1,bank transfer (automatic),101.45,2948.6,fiber optic,0,1,1,0,yes,yes,1,0,male,1,0,0,29,2692-bucfv,0,3.381666666666667,0
month-to-month,1,mailed check,25.75,25.75,no,0,0,0,0,no internet service,no internet service,1,1,female,0,0,0,1,2692-pfytj,0,0.8583333333333333,0
month-to-month,1,credit card (automatic),79.55,958.25,fiber optic,0,0,0,1,no,no,1,1,female,0,0,0,12,2694-ciumo,0,2.6516666666666664,0
one year,0,mailed check,100.9,5448.6,fiber optic,1,0,0,0,yes,yes,1,1,female,0,1,1,55,2696-ecxkc,0,3.3633333333333337,0
month-to-month,1,electronic check,73.85,926.25,fiber optic,0,0,0,1,no,no,1,0,male,0,0,0,11,2696-nartr,1,2.4616666666666664,1
two year,0,credit card (automatic),25.05,1629.2,no,0,0,0,0,no internet service,no internet service,1,1,male,0,1,0,68,2696-rzvzw,0,0.8350000000000001,0
month-to-month,1,electronic check,105.35,3540.65,fiber optic,0,1,0,1,yes,yes,1,1,male,0,0,0,34,2697-nqbpf,0,3.5116666666666663,0
month-to-month,0,credit card (automatic),20.75,20.75,no,0,0,0,0,no internet service,no internet service,1,0,male,0,0,0,1,2700-lueva,0,0.6916666666666667,0
one year,0,mailed check,53.65,1939.35,dsl,1,1,0,0,no,no,1,0,male,0,1,1,36,2703-amtul,0,1.7883333333333333,0
two year,0,mailed check,25.2,387.9,no,0,0,0,0,no internet service,no internet service,1,1,female,0,1,0,15,2706-qzihy,0,0.84,0
month-to-month,1,mailed check,51.65,524.5,dsl,1,0,0,0,no,no,1,0,male,0,0,0,10,2709-uqgnp,0,1.7216666666666667,0
two year,0,mailed check,71.1,213.35,dsl,1,1,0,1,no,yes,1,0,female,0,0,0,3,2710-wyvxg,0,2.3699999999999997,0
month-to-month,1,electronic check,25.7,25.7,no,0,0,0,0,no internet service,no internet service,1,1,female,0,0,0,1,2712-syway,0,0.8566666666666667,0
month-to-month,1,credit card (automatic),86.1,3551.65,fiber optic,1,1,1,0,no,no,1,0,male,0,1,0,43,2716-gfzor,0,2.8699999999999997,0
month-to-month,0,mailed check,20.05,163.6,no,0,0,0,0,no internet service,no internet service,1,0,female,0,0,1,8,2717-hvizy,0,0.6683333333333333,0
month-to-month,0,electronic check,46.0,181.6,dsl,0,0,0,0,no,no,1,0,female,1,1,1,4,2718-gaxqd,1,1.5333333333333334,1
two year,1,bank transfer (automatic),19.6,1387.45,no,0,0,0,0,no internet service,no internet service,1,0,male,0,1,1,71,2718-yskcs,0,0.6533333333333334,0
month-to-month,0,electronic check,93.85,1625.65,fiber optic,1,0,0,0,yes,yes,1,0,male,0,0,0,17,2719-bdaqo,1,3.128333333333333,1
month-to-month,1,credit card (automatic),48.95,273.25,dsl,0,0,0,0,no,no,1,1,female,0,1,1,6,2720-fvbqp,0,1.6316666666666668,0
month-to-month,1,electronic check,94.0,181.7,fiber optic,0,0,0,0,yes,yes,1,1,male,1,0,0,2,2720-wgkhp,1,3.1333333333333333,1
month-to-month,1,electronic check,49.55,49.55,dsl,1,0,0,0,no,no,1,0,female,1,1,0,1,2722-jmoni,1,1.6516666666666666,1
one year,1,credit card (automatic),105.65,6903.1,fiber optic,0,1,0,1,yes,yes,1,1,male,0,0,0,64,2722-vojql,1,3.521666666666667,1
one year,0,bank transfer (automatic),54.85,2191.7,dsl,0,0,1,1,yes,yes,0,0,male,0,0,1,39,2724-fjdyw,0,1.8283333333333334,0
one year,0,mailed check,56.9,2560.1,dsl,1,0,1,1,no,no,1,0,male,0,1,1,46,2725-iwwba,0,1.8966666666666667,0
month-to-month,1,electronic check,90.75,90.75,fiber optic,0,0,0,0,yes,yes,1,0,male,0,1,0,1,2725-kxxwt,1,3.025,1
two year,1,bank transfer (automatic),84.2,5986.55,dsl,1,0,1,1,yes,yes,1,1,female,0,1,1,72,2725-ttriq,0,2.8066666666666666,0
two year,0,credit card (automatic),19.8,641.35,no,0,0,0,0,no internet service,no internet service,1,0,female,0,1,1,33,2729-vnvap,0,0.66,0
one year,1,bank transfer (automatic),109.55,3608.0,fiber optic,1,0,1,1,yes,yes,1,1,female,0,0,0,32,2731-gjrdg,0,3.6516666666666664,0
month-to-month,1,mailed check,20.5,104.3,no,0,0,0,0,no internet service,no internet service,1,0,female,0,0,0,5,2732-isezx,0,0.6833333333333333,0
month-to-month,1,electronic check,45.25,85.5,dsl,0,0,0,0,yes,yes,0,0,female,0,0,0,2,2737-wfvyw,1,1.5083333333333333,1
month-to-month,0,electronic check,80.55,184.1,fiber optic,0,0,0,0,no,yes,1,0,female,0,0,0,2,2737-yngyw,1,2.685,1
month-to-month,1,credit card (automatic),82.65,1470.05,fiber optic,0,0,1,0,no,no,1,1,female,1,0,0,17,2739-cacdq,0,2.7550000000000003,0
month-to-month,0,credit card (automatic),20.35,122.0,no,0,0,0,0,no internet service,no internet service,1,0,male,0,0,1,5,2739-cczmb,0,0.6783333333333333,0
month-to-month,1,electronic check,24.0,226.55,no,0,0,0,0,no internet service,no internet service,1,1,male,0,0,0,10,2740-jfbok,0,0.8,0
month-to-month,1,electronic check,50.15,50.15,dsl,0,0,0,0,no,no,1,1,male,0,0,0,1,2740-tvlfn,0,1.6716666666666666,0
one year,1,credit card (automatic),56.3,2364.0,dsl,0,1,0,0,no,no,1,1,female,0,0,0,41,2746-dijlo,0,1.8766666666666665,0
one year,0,bank transfer (automatic),99.9,6137.0,fiber optic,0,1,0,0,yes,yes,1,1,female,0,0,0,63,2748-myrvk,1,3.33,1
one year,0,mailed check,20.15,419.9,no,0,0,0,0,no internet service,no internet service,1,0,male,0,1,1,22,2749-ctkaj,0,0.6716666666666666,0
one year,1,electronic check,103.7,4730.6,fiber optic,1,0,1,1,yes,yes,1,0,female,0,0,0,47,2750-bjlsb,0,3.4566666666666666,0
two year,1,credit card (automatic),74.2,4805.65,dsl,0,1,1,1,no,yes,1,1,male,0,0,0,65,2753-jmmcv,0,2.4733333333333336,0
month-to-month,1,credit card (automatic),100.15,908.55,fiber optic,0,0,0,1,yes,yes,1,1,female,1,0,0,8,2754-sdjrd,0,3.3383333333333334,0
month-to-month,0,electronic check,95.2,930.4,fiber optic,0,0,0,0,yes,yes,1,1,male,0,0,1,10,2754-vdltr,1,3.1733333333333333,1
month-to-month,1,bank transfer (automatic),77.65,714.15,fiber optic,0,0,0,0,yes,no,1,0,female,0,0,0,9,2754-xbhtb,1,2.5883333333333334,1
one year,1,electronic check,89.2,3251.3,fiber optic,1,0,0,1,no,yes,1,0,male,0,0,0,35,2758-rnwxs,0,2.9733333333333336,0
month-to-month,1,electronic check,74.7,165.4,fiber optic,0,1,0,0,no,no,1,0,male,1,0,0,2,2761-ociax,1,2.49,1
month-to-month,1,mailed check,43.35,371.4,dsl,0,1,1,0,no,yes,0,0,male,1,1,0,8,2761-xecqw,0,1.445,0
month-to-month,0,electronic check,29.1,688.0,dsl,0,0,1,0,no,no,0,0,male,0,1,0,24,2770-nsvdg,0,0.9700000000000001,0
two year,1,mailed check,53.1,1901.25,dsl,1,1,1,1,no,yes,0,0,female,0,0,0,36,2773-madbq,0,1.77,0
two year,1,bank transfer (automatic),111.3,7567.2,fiber optic,0,1,1,1,yes,yes,1,1,male,0,1,0,67,2773-ovbpk,0,3.71,0
month-to-month,1,electronic check,83.05,1258.3,fiber optic,0,0,1,1,no,no,1,1,female,1,1,0,15,2774-lvqus,1,2.768333333333333,1
two year,1,bank transfer (automatic),61.9,0.0,dsl,1,1,0,1,no,no,1,1,male,0,0,1,0,2775-sefee,0,2.0633333333333335,0
month-to-month,0,electronic check,78.05,78.05,fiber optic,0,0,0,0,yes,no,1,0,female,0,0,0,1,2777-phdei,1,2.6016666666666666,1
month-to-month,0,bank transfer (automatic),39.1,971.3,dsl,1,0,0,0,no,yes,0,0,male,1,1,0,24,2778-oclgr,1,1.3033333333333335,1
month-to-month,1,mailed check,36.0,780.15,dsl,0,1,0,1,no,no,0,0,male,0,0,0,21,2782-jeebu,0,1.2,0
month-to-month,1,mailed check,58.95,601.6,dsl,0,0,0,0,no,yes,1,1,female,0,0,0,11,2782-lfzvw,0,1.965,0
month-to-month,1,electronic check,104.95,5222.35,fiber optic,0,0,1,1,yes,yes,1,1,female,1,0,0,50,2786-gcdpi,0,3.4983333333333335,0
one year,0,mailed check,19.45,270.2,no,0,0,0,0,no internet service,no internet service,1,0,male,0,0,0,13,2788-cjqaq,0,0.6483333333333333,0
two year,0,bank transfer (automatic),110.3,6997.3,fiber optic,1,1,0,1,yes,yes,1,1,female,0,1,1,64,2789-czanw,0,3.6766666666666667,0
month-to-month,1,electronic check,80.35,253.8,fiber optic,0,0,0,0,no,yes,1,0,male,0,0,0,3,2789-hqbou,0,2.6783333333333332,0
one year,1,credit card (automatic),85.45,6028.95,fiber optic,1,1,0,0,no,no,1,1,male,0,0,1,71,2790-xuymv,0,2.8483333333333336,0
month-to-month,0,bank transfer (automatic),20.15,238.15,no,0,0,0,0,no internet service,no internet service,1,0,female,0,0,0,9,2791-sfvew,0,0.6716666666666666,0
month-to-month,1,mailed check,83.4,83.4,fiber optic,1,1,0,1,no,no,1,0,female,0,0,0,1,2792-lshwx,0,2.7800000000000002,0
month-to-month,1,electronic check,20.5,76.95,no,0,0,0,0,no internet service,no internet service,1,0,male,0,0,0,3,2792-vppet,0,0.6833333333333333,0
one year,1,electronic check,60.45,3184.25,dsl,0,1,1,1,yes,yes,0,0,male,0,1,0,53,2794-ximmo,1,2.015,1
two year,1,mailed check,19.95,927.1,no,0,0,0,0,no internet service,no internet service,1,0,female,0,1,1,46,2796-nnufi,0,0.6649999999999999,0
month-to-month,1,credit card (automatic),80.3,4896.35,fiber optic,0,1,1,0,no,no,1,0,male,0,1,1,63,2796-uuzzo,0,2.6766666666666667,0
two year,1,credit card (automatic),108.55,7616.0,fiber optic,1,0,1,1,yes,yes,1,1,male,0,1,0,71,2798-nylmz,0,3.618333333333333,0
month-to-month,1,electronic check,69.35,341.6,fiber optic,0,0,0,0,no,no,1,0,female,1,1,0,5,2799-arnlo,0,2.3116666666666665,0
two year,1,bank transfer (automatic),25.3,1748.55,no,0,0,0,0,no internet service,no internet service,1,1,female,0,1,1,65,2799-tslag,0,0.8433333333333334,0
month-to-month,1,electronic check,100.3,4222.95,fiber optic,0,0,0,1,yes,yes,1,1,male,0,0,0,42,2800-qquso,0,3.3433333333333333,0
month-to-month,1,mailed check,74.75,238.1,fiber optic,0,0,1,0,no,no,1,0,female,0,0,0,3,2800-veqxm,0,2.4916666666666667,0
month-to-month,0,electronic check,54.95,1348.5,dsl,1,0,0,1,no,no,1,0,male,0,0,0,24,2801-nisei,0,1.8316666666666668,0
two year,0,mailed check,20.55,1357.1,no,0,0,0,0,no internet service,no internet service,1,0,male,0,0,1,66,2804-etqdk,0,0.685,0
two year,0,credit card (automatic),19.8,475.2,no,0,0,0,0,no internet service,no internet service,1,0,female,0,0,0,25,2805-aufqn,0,0.66,0
one year,1,credit card (automatic),99.75,5608.4,fiber optic,0,1,1,1,no,yes,1,1,female,0,1,1,56,2805-edjpq,0,3.325,0
one year,1,bank transfer (automatic),105.1,5376.4,fiber optic,0,1,1,0,yes,yes,1,1,male,1,1,0,52,2806-mlnti,0,3.503333333333333,0
two year,0,mailed check,25.1,611.45,no,0,0,0,0,no internet service,no internet service,1,1,female,0,1,1,23,2808-chtdm,0,0.8366666666666667,0
one year,1,mailed check,26.8,733.55,no,0,0,0,0,no internet service,no internet service,1,1,female,0,1,0,25,2809-ilcyt,0,0.8933333333333333,0
month-to-month,1,electronic check,101.35,3334.9,fiber optic,0,0,1,0,yes,yes,1,1,female,0,0,0,32,2809-zmyoq,0,3.378333333333333,0
month-to-month,1,electronic check,50.15,762.25,dsl,1,0,0,0,no,no,1,0,female,0,0,0,16,2810-ftlem,1,1.6716666666666666,1
month-to-month,1,bank transfer (automatic),88.45,2130.55,fiber optic,0,1,1,0,no,yes,1,0,female,1,1,1,23,2811-povex,0,2.9483333333333333,0
one year,0,credit card (automatic),54.55,1362.85,dsl,1,0,0,1,yes,yes,0,0,male,0,0,0,26,2812-enymo,0,1.8183333333333331,0
one year,1,bank transfer (automatic),20.05,923.1,no,0,0,0,0,no internet service,no internet service,1,0,female,0,1,0,49,2812-reyat,0,0.6683333333333333,0
month-to-month,0,mailed check,20.05,20.05,no,0,0,0,0,no internet service,no internet service,1,0,male,0,0,1,1,2812-sfxmj,0,0.6683333333333333,0
month-to-month,1,mailed check,70.25,331.9,fiber optic,0,0,0,0,no,no,1,0,male,1,0,0,5,2815-cptul,1,2.341666666666667,1
two year,0,credit card (automatic),19.4,1023.95,no,0,0,0,0,no internet service,no internet service,1,0,female,0,0,0,50,2817-lvcpp,0,0.6466666666666666,0
month-to-month,1,credit card (automatic),45.55,597.0,dsl,1,0,0,1,yes,no,0,0,male,0,0,0,13,2817-ntqdo,1,1.5183333333333333,1
one year,0,mailed check,19.9,543.0,no,0,0,0,0,no internet service,no internet service,1,0,female,0,1,1,28,2819-gweni,0,0.6633333333333333,0
one year,0,credit card (automatic),19.45,921.3,no,0,0,0,0,no internet service,no internet service,1,0,female,0,0,1,49,2821-warnz,0,0.6483333333333333,0
month-to-month,1,bank transfer (automatic),95.05,1679.4,fiber optic,0,0,1,1,no,yes,1,1,female,0,0,0,18,2823-lkabh,0,3.1683333333333334,0
two year,1,bank transfer (automatic),71.45,5025.85,dsl,1,0,1,0,yes,no,1,1,female,0,1,1,72,2824-dxnkn,0,2.381666666666667,0
month-to-month,1,electronic check,95.25,3314.15,fiber optic,0,0,0,0,yes,yes,1,1,female,0,1,1,37,2824-myybn,0,3.175,0
month-to-month,0,bank transfer (automatic),29.8,220.45,dsl,1,0,0,0,no,no,0,0,male,1,1,0,7,2826-dxlqo,0,0.9933333333333334,0
month-to-month,0,bank transfer (automatic),81.4,3775.85,fiber optic,0,1,0,0,no,no,1,1,male,0,1,0,45,2826-uwhis,0,2.7133333333333334,0
month-to-month,1,bank transfer (automatic),45.0,865.85,dsl,0,0,0,0,no,no,1,0,male,0,0,0,19,2828-slqpf,0,1.5,0
one year,1,mailed check,19.8,572.2,no,0,0,0,0,no internet service,no internet service,1,0,male,0,0,0,29,2829-hyvzp,0,0.66,0
one year,0,credit card (automatic),103.9,6449.15,fiber optic,0,1,1,1,yes,yes,1,0,male,0,1,1,61,2830-lewoa,0,3.4633333333333334,0
month-to-month,1,electronic check,45.9,199.75,dsl,0,0,0,0,no,no,1,0,male,0,0,0,4,2831-ebwrn,0,1.53,0
month-to-month,1,electronic check,103.65,3988.5,fiber optic,0,0,1,1,yes,yes,1,1,female,0,0,0,38,2832-kjcrd,0,3.455,0
month-to-month,0,electronic check,19.9,57.4,no,0,0,0,0,no internet service,no internet service,1,0,female,0,0,0,2,2832-scuco,0,0.6633333333333333,0
month-to-month,0,mailed check,45.05,45.05,dsl,0,0,0,0,no,no,1,0,male,0,0,0,1,2833-slkdq,1,1.5016666666666665,1
one year,0,mailed check,45.9,693.45,dsl,1,1,1,1,no,no,0,0,female,0,0,0,15,2834-jkoow,0,1.53,0
two year,1,electronic check,108.05,7532.15,fiber optic,1,0,1,1,yes,yes,1,1,male,0,0,0,71,2834-jrtua,1,3.6016666666666666,1
month-to-month,0,electronic check,84.1,4348.65,fiber optic,1,0,0,0,yes,no,1,0,male,0,1,0,52,2834-spcjv,1,2.8033333333333332,1
month-to-month,0,mailed check,20.65,38.7,no,0,0,0,0,no internet service,no internet service,1,0,female,0,0,0,2,2839-rfsqe,1,0.6883333333333332,1
month-to-month,1,electronic check,93.15,2231.05,fiber optic,0,0,1,0,yes,yes,1,0,male,1,1,0,24,2840-xanrc,1,3.105,1
month-to-month,1,credit card (automatic),75.35,3161.4,fiber optic,0,0,0,0,no,no,1,1,male,0,0,0,43,2842-bcqge,0,2.5116666666666663,0
month-to-month,0,bank transfer (automatic),46.05,80.35,dsl,0,0,0,0,no,no,1,0,male,0,0,0,2,2842-jtccu,1,1.535,1
month-to-month,1,mailed check,49.7,1218.25,dsl,0,1,0,0,no,no,1,0,male,0,0,0,24,2843-cqmeg,0,1.6566666666666667,0
month-to-month,1,electronic check,99.8,4259.3,fiber optic,0,0,1,0,yes,yes,1,1,male,1,1,0,41,2845-afftx,1,3.3266666666666667,1
month-to-month,1,electronic check,87.25,1258.6,fiber optic,0,0,1,0,no,yes,1,1,female,0,1,1,14,2845-hsjcy,1,2.908333333333333,1
two year,1,mailed check,68.3,4378.8,dsl,0,1,1,1,no,yes,1,0,female,0,1,0,64,2845-kdhvx,0,2.2766666666666664,0
two year,0,credit card (automatic),19.4,1363.25,no,0,0,0,0,no internet service,no internet service,1,0,male,0,1,1,72,2848-yxsmw,0,0.6466666666666666,0
month-to-month,1,mailed check,56.15,1439.35,dsl,0,1,0,1,no,no,1,0,female,0,0,0,27,2851-mmutz,0,1.8716666666666666,0
one year,1,electronic check,73.0,2471.25,dsl,0,0,1,1,yes,yes,1,0,male,1,0,0,35,2851-sterv,0,2.433333333333333,0
month-to-month,1,mailed check,59.55,59.55,dsl,0,0,0,1,no,yes,1,0,male,0,0,1,1,2853-cwqfq,0,1.9849999999999999,0
one year,1,electronic check,103.8,3470.8,fiber optic,1,1,0,0,yes,yes,1,1,male,0,0,1,34,2855-qowgp,,3.46,2
month-to-month,0,electronic check,68.65,68.65,fiber optic,0,0,0,0,no,no,1,0,female,0,0,0,1,2856-hyapg,1,2.2883333333333336,1
month-to-month,1,mailed check,89.55,3856.75,fiber optic,0,0,0,0,yes,yes,1,0,male,1,0,0,43,2856-nnasm,1,2.985,1
one year,1,credit card (automatic),95.85,5016.25,fiber optic,0,0,0,0,yes,yes,1,1,female,1,1,0,53,2858-eimxh,0,3.195,0
one year,1,mailed check,55.85,937.5,dsl,0,0,1,0,no,no,1,1,female,0,0,1,17,2858-mofsq,1,1.8616666666666668,1
month-to-month,1,credit card (automatic),85.8,1727.5,fiber optic,0,0,0,0,no,yes,1,1,female,1,0,0,20,2860-ranus,1,2.86,1
one year,0,mailed check,19.15,124.4,no,0,0,0,0,no internet service,no internet service,1,0,male,0,0,0,6,2862-jveoy,0,0.6383333333333333,0
month-to-month,1,electronic check,24.7,24.7,dsl,0,0,0,0,no,no,0,0,male,0,0,1,1,2862-pfnik,0,0.8233333333333334,0
two year,0,electronic check,89.65,5308.7,dsl,1,1,1,1,yes,yes,1,1,female,0,0,0,61,2863-imqdr,0,2.9883333333333337,0
month-to-month,1,electronic check,89.2,346.2,fiber optic,0,0,1,0,yes,no,1,1,female,1,0,0,4,2865-tchjw,1,2.9733333333333336,1
month-to-month,0,mailed check,19.55,19.55,no,0,0,0,0,no internet service,no internet service,1,0,female,0,0,0,1,2866-ikbtm,0,0.6516666666666667,0
month-to-month,0,electronic check,80.5,80.5,fiber optic,0,0,0,0,no,yes,1,0,male,0,0,0,1,2867-uimss,1,2.683333333333333,1
one year,1,bank transfer (automatic),83.65,5733.4,fiber optic,0,1,0,1,no,no,1,1,female,0,1,1,68,2868-llskm,0,2.7883333333333336,0
month-to-month,1,electronic check,79.25,79.25,fiber optic,0,0,0,0,no,yes,1,0,male,0,0,0,1,2868-mzagq,1,2.6416666666666666,1
month-to-month,0,mailed check,80.6,155.8,fiber optic,0,0,1,0,no,no,1,1,female,0,0,0,2,2868-snelz,1,2.6866666666666665,1
